Designator,Mid X,Mid Y,Rotation,Layer
C1001,180.356,-72.577,180.0,top
C1002,174.22,-81.975,270.0,top
C1003,188.825,-81.36,90.0,top
C1004,192.0,-81.34,90.0,top
C201,134.215,-101.025,180.0,top
C301,81.007323,-106.105,0.0,top
C401,163.3996,-144.82,270.0,top
C501,210.5142,-123.4852,90.0,top
C701,114.0855,-102.93,0.0,top
C702,121.7455,-102.93,180.0,top
C901,224.4842,-108.5702,90.0,top
C902,220.0392,-100.3152,180.0,top
D201,90.2476,-69.2618,0.0,top
D202,100.4076,-69.3512,0.0,top
D203,110.5676,-69.3512,0.0,top
D204,120.7276,-69.3512,0.0,top
D205,130.405,-69.275,0.0,top
D206,140.445,-69.265,0.0,top
D301,132.945,-89.595,90.0,top
D302,78.97,-89.595,90.0,top
D701,119.8005,-110.55,180.0,top
F1001,163.435,-81.94,180.0,top
F301,70.08,-89.595,90.0,top
F501,221.2,-85.185,180.0,top
F901,199.0842,-98.4102,270.0,top
H101,69.5,-150.5,0.0,top
H102,69.5,-69.5,0.0,top
H103,240.5,-150.5,0.0,top
H104,240.5,-69.5,0.0,top
J1001,183.11,-109.28,270.0,top
J1002,163.55,-73.845,180.0,top
J1003,174.347,-75.8536,0.0,top
J1004,170.7148,-86.2168,0.0,top
J1006,197.95,-146.295,0.0,top
J201,168.505,-109.28,180.0,top
J202,158.96,-89.595,270.0,top
J203,70.1,-106.74,90.0,top
J204,129.152877,-148.015,180.0,top
J205,128.5,-114.995,0.0,top
J301,149.599,-73.085,0.0,top
J302,234.4,-90.4,0.0,top
J303,81.25,-144.0,0.0,top
J501,220.1,-73.95,180.0,top
J502,218.0242,-118.9302,90.0,top
J503,215.715,-146.6,0.0,top
J601,93.5,-144.6,0.0,top
J701,120.21,-146.6,0.0,top
J801,106.905,-146.6,0.0,top
J901,230.905,-146.6,0.0,top
J902,216.28,-124.806,0.0,top
J903,226.3892,-100.6252,0.0,top
JP601,81.557,-124.503,270.0,bottom
JP602,74.953,-127.102,90.0,bottom
JP701,120.5115,-125.155,270.0,bottom
JP702,114.1615,-125.155,90.0,bottom
JP801,101.55,-125.82,270.0,bottom
JP802,95.48,-126.425,90.0,bottom
Q1001,181.205,-100.39,270.0,top
Q1002,188.825,-100.39,270.0,top
Q1003,190.095,-87.055,180.0,top
Q901,220.0392,-111.1102,270.0,top
Q902,221.7664,-134.9304,180.0,top
Q903,220.0392,-105.3952,270.0,top
R1001,183.11,-95.31,180.0,top
R1002,183.11,-105.47,180.0,top
R1003,179.935,-69.275,0.0,top
R1004,195.175,-69.275,0.0,top
R1005,200.255,-84.515,0.0,top
R1006,200.255,-81.975,0.0,top
R1007,195.175,-71.815,0.0,top
R1008,180.316,-88.325,180.0,top
R1009,195.175,-74.355,180.0,top
R1010,200.255,-79.435,180.0,top
R1011,195.175,-76.895,0.0,top
R1012,200.255,-87.055,0.0,top
R201,92.94,-87.6646,0.0,top
R202,107.545,-87.8772,0.0,top
R203,121.515,-87.6646,0.0,top
R204,93.575,-75.752,180.0,top
R205,108.18,-75.752,180.0,top
R206,108.18,-78.292,180.0,top
R207,122.15,-78.292,180.0,top
R208,122.15,-75.752,180.0,top
R209,92.94,-85.1246,180.0,top
R210,107.545,-85.1246,180.0,top
R211,121.515,-85.1246,180.0,top
R212,137.2,-76.2,180.0,top
R501,204.7992,-134.9152,0.0,top
R502,204.7992,-137.4552,180.0,top
R503,204.7992,-132.3752,0.0,top
R504,204.7992,-115.8652,0.0,top
R601,78.055,-118.17,0.0,top
R602,78.0935,-115.63,0.0,top
R701,116.5999,-115.63,180.0,top
R702,116.5999,-118.17,0.0,top
R703,118.5305,-108.01,180.0,top
R704,118.5305,-105.47,0.0,top
R705,118.5305,-97.85,180.0,top
R801,97.385,-118.17,0.0,top
R802,97.385,-115.63,0.0,top
R901,230.735,-141.665,0.0,top
R902,207.9742,-98.4102,0.0,top
R903,207.9742,-95.8702,180.0,top
R904,207.9742,-108.5702,180.0,top
R905,221.9442,-95.8702,180.0,top
R906,207.9742,-106.0302,0.0,top
R907,221.4616,-128.1588,0.0,top
R908,221.4108,-130.8004,0.0,top
R909,207.9742,-103.4902,180.0,top
R910,207.9742,-100.9502,180.0,top
U1001,181.205,-80.705,180.0,top
U201,146.259,-128.97,180.0,top
U202,127.865,-139.76,270.0,top
U301,145.645,-89.214,270.0,top
U302,97.766,-101.406,270.0,top
U401,177.34,-139.65,270.0,top
U501,203.5292,-123.4852,180.0,top
U601,78.335,-128.965,180.0,top
U701,117.3115,-128.965,180.0,top
U801,98.02,-128.965,180.0,top
